// Auto-generated file

// on all tapes
RM_c756965d-a031-46db-bd5a-1afd5159afae = "Sapph'in Yemek Programý"

// tape One

RM_909bad9d-b7ff-42d5-b60c-1857be5598b9 = "VHS: Sapph'in Yemek Programý Bölüm 1 (Kahve)"
RM_6aea3b56-7c12-405d-b065-363f7be81c19 = "Bölüm 1: Kahve"
RM_30af2059-1537-4beb-a7e0-b28b6f15c626 = "Hey hey, bugün nasýlsýnýz?"
RM_10db04c4-4732-4bc1-9a03-3e8c1e29f412 = "[img=music]Mutfaðýma hoþ geldiniz[img=music]"
RM_ef323d59-b334-4635-9969-d0a404c1d578 = "Bugün... KAHVE demliyoruz"
RM_7882f5ee-271a-4051-bac9-8eac5e425618 = "Sabahlarýmýzýn en iyi baþlangýcý!"
RM_5ab46bf2-05b3-49d7-95db-9d90db7144dc = "Ne lazým? Ýlk olarak - Hadi biraz su ýsýtalým"
RM_96e0f364-6b24-46fb-bc60-fd955249c5cc = "Ýkinci olarak - Kahve Çekirdekleri alýn, bunu bir deðirmende öðütün!"
RM_ee8c853f-75c4-4771-9e07-c945b8a9f349 = "<Sesler> Ya da cesaretliyseniz, hatta bir havan ve tokmak bile kullanabilirsiniz...<Sesler>"
RM_d5c8295d-d935-4729-b8a8-a6e5d8f2bc6e = "ve... Ýþte bu kadar! Þimdi sadece kaðýt ya da bez filtrelere ihtiyacýmýz var."
RM_777a5d02-d3cc-46b7-9697-996034d6ca9e = "Ýþte bu kadar! Ýþimizin çoðu bitti, þimdi sadece sabýr gerekli!"
RM_7b901f5b-71cb-4762-a338-2d0ac4d54f25 = "Sýcak suyun kahvemizi yavaþça demlemesine izin verelim!"
RM_79940cc2-04c8-497a-beaf-b7ebc5885599 = "Ve iþte bu kadar kolay! Biraz sýcak demlenmiþ kahve!"
RM_94f3b733-566e-4c5e-ae09-e23f9ac8f171 = "Umarým hepinizi eðlendirmiþimdir - bir dahaki sefere görüþmek üzere~[img=music]"

// tape Two

= "Bölüm 2: Ekler ve Makaronlar"
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
= ""
